noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,MGL,2,2,0.2,69.65,1.0,0.0,0.0
0.02,MGL,3,2,0.2,69.65,1.0,0.0,0.0
0.02,MGL,5,2,0.2,69.65,1.0,0.0,0.0
0.02,Binary,0,2,0.25,23.87,0.8449367088607594,0.0,0.0
0.02,Smooth,2,2,0.25,17.71,0.5632911392405063,0.0,0.0
0.02,Smooth,3,2,0.25,14.000000000000002,0.41139240506329117,1.0,0.0
0.02,Smooth,5,2,0.25,8.680000000000001,0.2310126582278481,2.0,0.3333333333333333
0.02,MGL,2,2,0.25,134.245,0.9651898734177216,0.0,0.0
0.02,MGL,3,2,0.25,100.715,0.9208860759493671,0.0,0.0
0.02,MGL,5,2,0.25,67.325,0.879746835443038,0.0,0.0
0.02,Binary,0,2,0.30000000000000004,7.840000000000001,0.35443037974683544,0.0,0.14285714285714285
0.02,Smooth,2,2,0.30000000000000004,3.9200000000000004,0.16139240506329114,1.0,0.19047619047619047
0.02,Smooth,3,2,0.30000000000000004,1.8200000000000003,0.0759493670886076,2.0,0.5238095238095238
0.02,Smooth,5,2,0.30000000000000004,0.6300000000000001,0.02531645569620253,3.5,0.8095238095238095
0.02,MGL,2,2,0.30000000000000004,66.78000000000002,0.7721518987341772,1.0,0.0
0.02,MGL,3,2,0.30000000000000004,48.30000000000001,0.6708860759493671,0.5,0.047619047619047616
0.02,MGL,5,2,0.30000000000000004,29.120000000000005,0.5031645569620253,0.0,0.09523809523809523
0.02,Binary,0,2,0.3500000000000001,2.24,0.10126582278481013,0.0,0.5714285714285714
0.02,Smooth,2,2,0.3500000000000001,0.6300000000000001,0.028481012658227847,1.0,0.7619047619047619
0.02,Smooth,3,2,0.3500000000000001,0.14,0.006329113924050633,2.0,0.9047619047619048
0.02,Smooth,5,2,0.3500000000000001,0.0,0.0,,1.0
0.02,MGL,2,2,0.3500000000000001,33.13250000000001,0.5886075949367089,2.0,0.0
0.02,MGL,3,2,0.3500000000000001,22.702500000000004,0.43354430379746833,0.5,0.23809523809523808
0.02,MGL,5,2,0.3500000000000001,13.322500000000002,0.23734177215189872,0.0,0.38095238095238093
0.02,Binary,0,2,0.4,0.7000000000000001,0.03164556962025317,0.0,0.7142857142857143
0.02,Smooth,2,2,0.4,0.0,0.0,,1.0
0.02,Smooth,3,2,0.4,0.0,0.0,,1.0
0.02,Smooth,5,2,0.4,0.0,0.0,,1.0
0.02,MGL,2,2,0.4,15.902500000000002,0.3924050632911392,2.0,0.0
0.02,MGL,3,2,0.4,11.2125,0.28164556962025317,3.0,0.23809523809523808
0.02,MGL,5,2,0.4,6.802500000000001,0.14556962025316456,0.0,0.5238095238095238
0.02,Binary,0,2,0.45000000000000007,0.07,0.0031645569620253164,0.0,0.9523809523809523
0.02,Smooth,2,2,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,3,2,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,5,2,0.45000000000000007,0.0,0.0,,1.0
0.02,MGL,2,2,0.45000000000000007,8.477500000000001,0.2626582278481013,2.0,0.047619047619047616
0.02,MGL,3,2,0.45000000000000007,6.0975,0.18670886075949367,3.0,0.2857142857142857
0.02,MGL,5,2,0.45000000000000007,3.5075000000000003,0.08227848101265822,5.0,0.7619047619047619
0.02,Binary,0,2,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,2,2,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,3,2,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,5,2,0.5000000000000001,0.0,0.0,,1.0
0.02,MGL,2,2,0.5000000000000001,4.142500000000001,0.13924050632911392,2.0,0.3333333333333333
0.02,MGL,3,2,0.5000000000000001,2.7425,0.07911392405063292,3.0,0.5238095238095238
0.02,MGL,5,2,0.5000000000000001,1.5525000000000002,0.03164556962025317,5.0,0.8571428571428571
0.02,Binary,0,2,0.55,0.0,0.0,,1.0
0.02,Smooth,2,2,0.55,0.0,0.0,,1.0
0.02,Smooth,3,2,0.55,0.0,0.0,,1.0
0.02,Smooth,5,2,0.55,0.0,0.0,,1.0
0.02,MGL,2,2,0.55,1.4525000000000001,0.04430379746835443,2.0,0.6190476190476191
0.02,MGL,3,2,0.55,0.8925000000000001,0.0189873417721519,3.0,0.7619047619047619
0.02,MGL,5,2,0.55,0.4725000000000001,0.0,,1.0
0.02,Binary,0,3,0.1,1032.99,1.0,0.0,0.0
0.02,Smooth,2,3,0.1,619.7800000000001,1.0,0.0,0.0
0.02,Smooth,3,3,0.1,535.5,1.0,0.0,0.0
0.02,Smooth,5,3,0.1,463.26000000000005,0.9367088607594937,0.0,0.0
0.02,MGL,2,3,0.1,1032.99,1.0,0.0,0.0
0.02,MGL,3,3,0.1,1032.99,1.0,0.0,0.0
0.02,MGL,5,3,0.1,1032.99,1.0,0.0,0.0
