dd_tau,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
0.15,0.05,MGL,0,0.2,374.43000000000006,0.9778481012658228
0.15,0.05,Binary,0,0.25,43.470000000000006,0.7468354430379747
0.15,0.05,MGL,0,0.25,163.79250000000002,0.9177215189873418
0.15,0.05,Binary,0,0.30000000000000004,13.160000000000002,0.3924050632911392
0.15,0.05,MGL,0,0.30000000000000004,82.73750000000001,0.759493670886076
0.15,0.05,Binary,0,0.3500000000000001,4.550000000000001,0.18670886075949367
0.15,0.05,MGL,0,0.3500000000000001,43.907500000000006,0.5981012658227848
0.15,0.05,Binary,0,0.4,1.4700000000000002,0.06329113924050633
0.15,0.05,MGL,0,0.4,22.455000000000005,0.3987341772151899
0.15,0.05,Binary,0,0.45000000000000007,0.35000000000000003,0.015822784810126583
0.15,0.05,MGL,0,0.45000000000000007,10.915000000000003,0.23417721518987342
0.15,0.05,Binary,0,0.5000000000000001,0.07,0.0031645569620253164
0.15,0.05,MGL,0,0.5000000000000001,5.890000000000001,0.13924050632911392
0.15,0.05,Binary,0,0.55,0.0,0.0
0.15,0.05,MGL,0,0.55,1.9375000000000002,0.04430379746835443
0.15,0.05,Binary,1,0.1,2026.15,1.0
0.15,0.05,MGL,1,0.1,2026.15,1.0
0.15,0.05,Binary,1,0.15000000000000002,549.85,1.0
0.15,0.05,MGL,1,0.15000000000000002,963.0575,1.0
0.15,0.05,Binary,1,0.2,142.52,0.9525316455696202
0.15,0.05,MGL,1,0.2,369.3225,0.9841772151898734
0.15,0.05,Binary,1,0.25,40.11000000000001,0.7626582278481012
0.15,0.05,MGL,1,0.25,162.80750000000003,0.9272151898734177
0.15,0.05,Binary,1,0.30000000000000004,12.32,0.4208860759493671
0.15,0.05,MGL,1,0.30000000000000004,80.8675,0.8164556962025317
0.15,0.05,Binary,1,0.3500000000000001,3.9200000000000004,0.17405063291139242
0.15,0.05,MGL,1,0.3500000000000001,40.685,0.6392405063291139
0.15,0.05,Binary,1,0.4,1.1900000000000002,0.05379746835443038
0.15,0.05,MGL,1,0.4,20.8675,0.4272151898734177
0.15,0.05,Binary,1,0.45000000000000007,0.42000000000000004,0.0189873417721519
0.15,0.05,MGL,1,0.45000000000000007,11.592500000000001,0.2879746835443038
0.15,0.05,Binary,1,0.5000000000000001,0.14,0.006329113924050633
0.15,0.05,MGL,1,0.5000000000000001,5.697500000000001,0.15822784810126583
0.15,0.05,Binary,1,0.55,0.0,0.0
0.15,0.05,MGL,1,0.55,1.7050000000000003,0.03164556962025317
0.15,0.05,Binary,2,0.1,2031.1900000000003,1.0
0.15,0.05,MGL,2,0.1,2031.1900000000003,1.0
0.15,0.05,Binary,2,0.15000000000000002,556.22,0.9968354430379747
0.15,0.05,MGL,2,0.15000000000000002,965.5250000000001,1.0
0.15,0.05,Binary,2,0.2,144.27,0.9493670886075949
0.15,0.05,MGL,2,0.2,370.49,1.0
0.15,0.05,Binary,2,0.25,41.580000000000005,0.7310126582278481
0.15,0.05,MGL,2,0.25,169.03500000000003,0.9367088607594937
0.15,0.05,Binary,2,0.30000000000000004,12.39,0.37658227848101267
0.15,0.05,MGL,2,0.30000000000000004,82.00250000000001,0.7626582278481012
0.15,0.05,Binary,2,0.3500000000000001,4.340000000000001,0.18354430379746836
0.15,0.05,MGL,2,0.3500000000000001,40.44500000000001,0.5506329113924051
0.15,0.05,Binary,2,0.4,1.12,0.05063291139240506
0.15,0.05,MGL,2,0.4,18.832500000000003,0.3575949367088608
0.15,0.05,Binary,2,0.45000000000000007,0.07,0.0031645569620253164
0.15,0.05,MGL,2,0.45000000000000007,9.5225,0.19936708860759494
0.15,0.05,Binary,2,0.5000000000000001,0.07,0.0031645569620253164
0.15,0.05,MGL,2,0.5000000000000001,4.072500000000001,0.09177215189873418
0.15,0.05,Binary,2,0.55,0.0,0.0
0.15,0.05,MGL,2,0.55,1.2400000000000002,0.0189873417721519
