part,param,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
A,rho=0.0,0.02,Binary,9,0.3500000000000001,2.3800000000000003,0.10759493670886076
A,rho=0.0,0.02,MGL,9,0.3500000000000001,32.425,0.5664556962025317
A,rho=0.0,0.02,Binary,9,0.4,0.6300000000000001,0.028481012658227847
A,rho=0.0,0.02,MGL,9,0.4,16.8775,0.41455696202531644
A,rho=0.0,0.02,Binary,9,0.45000000000000007,0.0,0.0
A,rho=0.0,0.02,MGL,9,0.45000000000000007,8.992500000000001,0.27531645569620256
A,rho=0.0,0.02,Binary,9,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,9,0.5000000000000001,5.055000000000001,0.18037974683544303
A,rho=0.0,0.02,Binary,9,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,9,0.55,1.6925000000000003,0.05379746835443038
A,rho=0.0,0.05,Binary,0,0.1,2037.4900000000002,1.0
A,rho=0.0,0.05,MGL,0,0.1,2037.4900000000002,1.0
A,rho=0.0,0.05,Binary,0,0.15000000000000002,557.97,0.9968354430379747
A,rho=0.0,0.05,MGL,0,0.15000000000000002,557.97,0.9968354430379747
A,rho=0.0,0.05,Binary,0,0.2,148.05,0.9430379746835443
A,rho=0.0,0.05,MGL,0,0.2,148.05,0.9430379746835443
A,rho=0.0,0.05,Binary,0,0.25,43.470000000000006,0.7468354430379747
A,rho=0.0,0.05,MGL,0,0.25,163.79250000000002,0.9177215189873418
A,rho=0.0,0.05,Binary,0,0.30000000000000004,13.160000000000002,0.3924050632911392
A,rho=0.0,0.05,MGL,0,0.30000000000000004,82.73750000000001,0.759493670886076
A,rho=0.0,0.05,Binary,0,0.3500000000000001,4.550000000000001,0.18670886075949367
A,rho=0.0,0.05,MGL,0,0.3500000000000001,43.907500000000006,0.5981012658227848
A,rho=0.0,0.05,Binary,0,0.4,1.4700000000000002,0.06329113924050633
A,rho=0.0,0.05,MGL,0,0.4,22.455000000000005,0.3987341772151899
A,rho=0.0,0.05,Binary,0,0.45000000000000007,0.35000000000000003,0.015822784810126583
A,rho=0.0,0.05,MGL,0,0.45000000000000007,10.915000000000003,0.23417721518987342
A,rho=0.0,0.05,Binary,0,0.5000000000000001,0.07,0.0031645569620253164
A,rho=0.0,0.05,MGL,0,0.5000000000000001,5.890000000000001,0.13924050632911392
A,rho=0.0,0.05,Binary,0,0.55,0.0,0.0
A,rho=0.0,0.05,MGL,0,0.55,1.9375000000000002,0.04430379746835443
A,rho=0.0,0.05,Binary,1,0.1,2026.15,1.0
A,rho=0.0,0.05,MGL,1,0.1,2026.15,1.0
A,rho=0.0,0.05,Binary,1,0.15000000000000002,549.85,1.0
A,rho=0.0,0.05,MGL,1,0.15000000000000002,549.85,1.0
A,rho=0.0,0.05,Binary,1,0.2,142.52,0.9525316455696202
A,rho=0.0,0.05,MGL,1,0.2,142.52,0.9525316455696202
A,rho=0.0,0.05,Binary,1,0.25,40.11000000000001,0.7626582278481012
A,rho=0.0,0.05,MGL,1,0.25,162.80750000000003,0.9272151898734177
A,rho=0.0,0.05,Binary,1,0.30000000000000004,12.32,0.4208860759493671
A,rho=0.0,0.05,MGL,1,0.30000000000000004,80.8675,0.8164556962025317
