noise_sigma,n_persist,strategy,seed,threshold_id,threshold_val,total_bytes_mbit,recall
0.02,2,MGL,1,2,0.2,69.79,1.0
0.02,3,MGL,1,2,0.2,69.79,1.0
0.02,5,MGL,1,2,0.2,69.79,1.0
0.02,0,Binary,1,3,0.25,23.03,0.879746835443038
0.02,2,MGL,1,3,0.25,134.705,0.9525316455696202
0.02,3,MGL,1,3,0.25,101.805,0.939873417721519
0.02,5,MGL,1,3,0.25,67.85500000000002,0.8924050632911392
0.02,0,Binary,1,4,0.30000000000000004,7.5600000000000005,0.34177215189873417
0.02,2,MGL,1,4,0.30000000000000004,67.8725,0.8037974683544303
0.02,3,MGL,1,4,0.30000000000000004,49.81250000000001,0.7088607594936709
0.02,5,MGL,1,4,0.30000000000000004,30.422500000000007,0.49683544303797467
0.02,0,Binary,1,5,0.3500000000000001,2.24,0.10126582278481013
0.02,2,MGL,1,5,0.3500000000000001,33.24,0.5949367088607594
0.02,3,MGL,1,5,0.3500000000000001,22.740000000000002,0.43670886075949367
0.02,5,MGL,1,5,0.3500000000000001,12.940000000000001,0.24050632911392406
0.02,0,Binary,1,6,0.4,0.6300000000000001,0.028481012658227847
0.02,2,MGL,1,6,0.4,17.380000000000003,0.4462025316455696
0.02,3,MGL,1,6,0.4,11.640000000000002,0.30063291139240506
0.02,5,MGL,1,6,0.4,6.740000000000001,0.13924050632911392
0.02,0,Binary,1,7,0.45000000000000007,0.35000000000000003,0.015822784810126583
0.02,2,MGL,1,7,0.45000000000000007,9.83,0.31329113924050633
0.02,3,MGL,1,7,0.45000000000000007,7.030000000000001,0.22468354430379747
0.02,5,MGL,1,7,0.45000000000000007,4.370000000000001,0.11075949367088607
0.02,0,Binary,1,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,1,8,0.5000000000000001,5.2325,0.18354430379746836
0.02,3,MGL,1,8,0.5000000000000001,3.8325000000000005,0.12658227848101267
0.02,5,MGL,1,8,0.5000000000000001,2.2925000000000004,0.060126582278481014
0.02,0,Binary,1,9,0.55,0.0,0.0
0.02,2,MGL,1,9,0.55,1.4875000000000003,0.04430379746835443
0.02,3,MGL,1,9,0.55,0.7875000000000001,0.012658227848101266
0.02,5,MGL,1,9,0.55,0.5075000000000001,0.0
0.02,0,Binary,2,0,0.1,1030.4,1.0
0.02,2,MGL,2,0,0.1,1030.4,1.0
0.02,3,MGL,2,0,0.1,1030.4,1.0
0.02,5,MGL,2,0,0.1,1030.4,1.0
0.02,0,Binary,2,1,0.15000000000000002,243.04000000000002,1.0
0.02,2,MGL,2,1,0.15000000000000002,243.04000000000002,1.0
0.02,3,MGL,2,1,0.15000000000000002,243.04000000000002,1.0
0.02,5,MGL,2,1,0.15000000000000002,243.04000000000002,1.0
0.02,0,Binary,2,2,0.2,69.65,1.0
0.02,2,MGL,2,2,0.2,69.65,1.0
0.02,3,MGL,2,2,0.2,69.65,1.0
0.02,5,MGL,2,2,0.2,69.65,1.0
0.02,0,Binary,2,3,0.25,23.87,0.8449367088607594
